rider_slug,rank,pcs_points
tyler-hamilton,40,782
alessandro-petacchi,41,779
oscar-camenzind,42,773
patrice-halgand,43,771
niko-eeckhout,44,767
pascal-herve,45,764
gabriele-missaglia,46,755
viatcheslav-ekimov,47,748
fred-rodriguez,48,743
dmitri-konychev,49,742
zbigniew-spruch,50,740
marc-wauters,51,729
david-etxebarria,52,728
serhiy-honchar,53,719
lance-armstrong,54,716
jose-maria-jimenez,55,709
jan-hruska,56,706
danilo-di-luca,57,698
nico-mattan,58,696
tristan-hoffman,59,690
jo-planckaert,60,689
johan-museeuw,61,671
chris-peers,62,663
paolo-savoldelli,63,660
santiago-botero,64,660
steffen-wesemann,65,657
dave-bruylandts,66,654
dave-bruylandts,66,654
sergei-ivanov,67,647
gorazd-stangelj,68,642
santiago-blanco,69,640
fabrizio-guidi,70,639
rik-verbrugghe,71,622
giovanni-lombardi,72,622
andrea-noe,73,621
alex-zulle,74,618
sergio-barbero,75,613
marco-serpellini,76,601
miguel-angel-martin-perdiguero,77,579
lars-michaelsen,78,575
servais-knaven,79,570
marcel-wust,80,567
juan-carlos-dominguez,81,566
max-van-heeswijk,82,559
martin-rittsel,83,558
jans-koerts,84,557
marco-zanotti-1,85,557
piotr-wadecki,86,553
santos-gonzalez,87,553
angel-luis-casero,88,550
fabio-baldato,89,544
leon-van-bon,90,541
manuel-beltran,91,536
peter-farazijn,92,531
andrei-kivilev,93,531
steven-de-jongh,94,527
david-canada,95,522
stuart-o-grady,96,519
mario-cipollini,97,509
bo-hamburger,98,508
carlos-sastre,99,501
erik-zabel,1,2323
davide-rebellin,2,1995
erik-dekker,3,1834
jan-ullrich,4,1776
michael-boogerd,5,1657
joseba-beloki,6,1478
gilberto-simoni,7,1463
paolo-bettini,8,1448
oscar-sevilla,9,1407
francesco-casagrande,10,1383
dario-frigo,11,1214
jaan-kirsipuu,12,1148
romans-vainsteins,13,1147
jens-voigt,14,1119
laurent-jalabert,15,1115
nico-mattan,16,1112
david-millar,17,1091
igor-gonzalez-de-galdeano,18,1063
raimondas-rumsas-1,19,1008
stuart-o-grady,20,983
wladimir-belli,21,970
santiago-botero,22,967
alexandre-vinokourov,23,961
christophe-moreau,24,958
giuliano-figueras,25,953
beat-zberg,26,936
niko-eeckhout,27,932
didier-rous,28,907
danilo-hondo,29,902
oscar-camenzind,30,886
george-hincapie,31,863
mario-cipollini,32,860
david-etxebarria,33,847
florent-brard,34,846
