rider_name,year,pcs_points
anthony maldonado,2021,22.0
bas van der kooij,2021,22.0
damiano cima,2021,22.0
dries devenyns,2021,22.0
george bennett,2021,22.0
giovanni aleotti,2021,22.0
jelle wallays,2021,22.0
lukasz wisniowski,2021,22.0
spas gyurov,2021,22.0
stanislau bazhkou,2021,22.0
adrien petit,2021,21.0
antonio carvalho,2021,21.0
jonathan milan,2021,21.0
leonardo basso,2021,21.0
manuele boaro,2021,21.0
marcel sieberg,2021,21.0
ulises alfredo castillo,2021,21.0
alex howes,2021,20.0
james piccoli,2021,20.0
jelle vanendert,2021,20.0
