rider_name,year,pcs_points
francois simon,1992,381.0
danny nelissen,1992,380.0
alvaro mejia,1992,377.0
jacky durand,1992,367.0
jean cyril robin,1992,363.0
jean claude leclercq,1992,361.0
rob harmeling,1992,358.0
pascal lance,1992,355.0
christophe manin,1992,349.0
christian henn,1992,348.0
leonardo sierra,1992,347.0
rolf aldag,1992,347.0
wiebren veenstra,1992,345.0
jim van de laer,1992,341.0
stephen hodge,1992,341.0
dag otto lauritzen,1992,340.0
vladimir pulnikov,1992,340.0
bo hamburger,1992,339.0
jan svorada 1,1992,337.0
pavel tonkov,1992,334.0
jose martin farfan,1992,332.0
jean philippe dojwa,1992,329.0
paul haghedooren,1992,328.0
andrea chiurato,1992,324.0
frederic moncassin,1992,317.0
stephane heulot,1992,315.0
laurent brochard,1992,311.0
sean yates,1992,311.0
javier murguialday,1992,310.0
uwe ampler,1992,309.0
serge baguet,1992,307.0
jean pierre heynderickx,1992,306.0
herman frison,1992,301.0
scott sunderland,1992,300.0
marco lietti,1992,295.0
arsenio gonzalez,1992,294.0
frank vandenbroucke,1992,290.0
rolf jaermann,1992,289.0
heinz imboden,1992,288.0
asiat saitov,1992,286.0
franco ballerini,1992,286.0
endrio leoni,1992,277.0
mario de clercq,1992,275.0
marcel wust,1992,274.0
gianluca bortolami,1992,270.0
malcolm elliott,1992,266.0
mario manzoni,1992,264.0
alfonso gutierrez,1992,258.0
cassio freitas,1992,258.0
stefano zanini,1992,257.0
eddy schurer,1992,256.0
wilfried peeters,1992,256.0
eddy seigneur,1992,255.0
dominik krieger,1992,246.0
bruno leali,1992,245.0
lance armstrong,1992,245.0
roberto pagnin,1992,245.0
oliverio rincon quintana,1992,239.0
inaki gaston,1992,238.0
oscar de jesus vargas restrepo,1992,235.0
yvon ledanois,1992,235.0
johnny weltz,1992,233.0
davide rebellin,1992,232.0
rik van slycke,1992,230.0
norman alvis,1992,229.0
bart bowen,1992,224.0
christophe capelle,1992,223.0
stephane hennebert,1992,222.0
harald maier,1992,220.0
jo planckaert,1992,220.0
massimo strazzer,1992,220.0
pello ruiz cabestany,1992,220.0
giuseppe petito,1992,216.0
flavio giupponi,1992,212.0
hernan buenahora,1992,212.0
zbigniew spruch,1992,212.0
joaquim augusto gomes,1992,210.0
neil stephens,1992,209.0
acacio da silva,1992,207.0
michel cornelisse,1992,205.0
silvio martinello,1992,203.0
andrea ferrigato,1992,202.0
martin earley,1992,200.0
mauro gianetti,1992,200.0
marc sergeant,1992,199.0
michel zanoli,1992,197.0
roberto gusmeroli,1992,193.0
arunas cepele,1992,191.0
ramon gonzalez arrieta,1992,190.0
paolo botarelli,1992,189.0
dante rezze,1992,188.0
manuel luis campos abreu,1992,187.0
johan devos,1992,186.0
thierry bourguignon,1992,186.0
flavio vanzella,1992,184.0
michel vermote,1992,184.0
franck boucanville,1992,182.0
marc bouillon,1992,182.0
philippe casado,1992,182.0
laurent madouas,1992,181.0
fabio roscioli,1992,180.0
jos van aert,1992,178.0
jans koerts,1992,177.0
federico garcia melia,1992,175.0
angel yesid camargo,1992,174.0
laurent pillon,1992,174.0
fabio baldato,1992,173.0
alessio di basco,1992,170.0
johnny dauwe,1992,170.0
philippe bouvatier,1992,170.0
stefano della santa,1992,169.0
